[Edge { left: 0, right: 958, weight: Weight(1083)
Edge { left: 0, right: 558, weight: Weight(1791)
Edge { left: 558, right: 576, weight: Weight(2177)
Edge { left: 119, right: 576, weight: Weight(652)
Edge { left: 119, right: 785, weight: Weight(1607)
Edge { left: 8, right: 785, weight: Weight(1260)
Edge { left: 8, right: 284, weight: Weight(905)
Edge { left: 358, right: 785, weight: Weight(1403)
Edge { left: 284, right: 820, weight: Weight(1548)
Edge { left: 284, right: 337, weight: Weight(1667)
Edge { left: 420, right: 958, weight: Weight(2428)
Edge { left: 820, right: 931, weight: Weight(2799)
Edge { left: 274, right: 931, weight: Weight(689)
Edge { left: 217, right: 274, weight: Weight(2528)
Edge { left: 217, right: 387, weight: Weight(1088)
Edge { left: 387, right: 710, weight: Weight(858)
Edge { left: 274, right: 912, weight: Weight(2795)
Edge { left: 431, right: 912, weight: Weight(3061)
Edge { left: 617, right: 710, weight: Weight(3218)
Edge { left: 42, right: 617, weight: Weight(2495)
Edge { left: 431, right: 806, weight: Weight(3317)
Edge { left: 806, right: 997, weight: Weight(1675)
Edge { left: 486, right: 997, weight: Weight(800)
Edge { left: 486, right: 922, weight: Weight(2833)
Edge { left: 580, right: 922, weight: Weight(2210)
Edge { left: 580, right: 981, weight: Weight(1734)
Edge { left: 401, right: 580, weight: Weight(1998)
Edge { left: 401, right: 624, weight: Weight(2186)
Edge { left: 624, right: 907, weight: Weight(1901)
Edge { left: 753, right: 907, weight: Weight(895)
Edge { left: 619, right: 624, weight: Weight(2226)
Edge { left: 213, right: 619, weight: Weight(2123)
Edge { left: 84, right: 213, weight: Weight(1509)
Edge { left: 84, right: 239, weight: Weight(1019)
Edge { left: 239, right: 767, weight: Weight(454)
Edge { left: 23, right: 239, weight: Weight(579)
Edge { left: 23, right: 105, weight: Weight(1880)
Edge { left: 69, right: 105, weight: Weight(1952)
Edge { left: 69, right: 934, weight: Weight(1727)
Edge { left: 860, right: 934, weight: Weight(536)
Edge { left: 678, right: 934, weight: Weight(755)
Edge { left: 499, right: 860, weight: Weight(1586)
Edge { left: 153, right: 499, weight: Weight(410)
Edge { left: 153, right: 261, weight: Weight(1733)
Edge { left: 261, right: 801, weight: Weight(892)
Edge { left: 174, right: 801, weight: Weight(584)
Edge { left: 261, right: 409, weight: Weight(1750)
Edge { left: 174, right: 279, weight: Weight(2086)
Edge { left: 236, right: 279, weight: Weight(1070)
Edge { left: 236, right: 342, weight: Weight(742)
Edge { left: 19, right: 236, weight: Weight(1536)
Edge { left: 19, right: 313, weight: Weight(1895)
Edge { left: 19, right: 424, weight: Weight(2284)
Edge { left: 424, right: 890, weight: Weight(1844)
Edge { left: 322, right: 890, weight: Weight(2156)
