[Edge { left: 0, right: 835, weight: Weight(491) }
Edge { left: 835, right: 8441, weight: Weight(503) }
Edge { left: 4941, right: 8441, weight: Weight(412) }
Edge { left: 2293, right: 4941, weight: Weight(360) }
Edge { left: 2601, right: 8441, weight: Weight(452) }
Edge { left: 2601, right: 6422, weight: Weight(42) }
Edge { left: 3069, right: 6422, weight: Weight(239) }
Edge { left: 4765, right: 8441, weight: Weight(498) }
Edge { left: 3069, right: 7717, weight: Weight(693) }
Edge { left: 4292, right: 7717, weight: Weight(424) }
Edge { left: 4292, right: 5129, weight: Weight(799) }
Edge { left: 679, right: 7717, weight: Weight(816) }
Edge { left: 679, right: 4171, weight: Weight(789) }
Edge { left: 4765, right: 8746, weight: Weight(963) }
Edge { left: 632, right: 8746, weight: Weight(741) }
Edge { left: 632, right: 1507, weight: Weight(394) }
Edge { left: 1507, right: 3772, weight: Weight(662) }
Edge { left: 0, right: 2658, weight: Weight(985) }
Edge { left: 2658, right: 6061, weight: Weight(589) }
Edge { left: 1439, right: 6061, weight: Weight(557) }
Edge { left: 445, right: 1439, weight: Weight(553) }
Edge { left: 445, right: 9383, weight: Weight(325) }
Edge { left: 6684, right: 9383, weight: Weight(185) }
Edge { left: 2956, right: 6684, weight: Weight(304) }
Edge { left: 1454, right: 9383, weight: Weight(588) }
Edge { left: 2956, right: 8529, weight: Weight(666) }
Edge { left: 164, right: 8529, weight: Weight(79) }
Edge { left: 2921, right: 8529, weight: Weight(638) }
Edge { left: 2921, right: 5585, weight: Weight(625) }
Edge { left: 1439, right: 5736, weight: Weight(683) }
Edge { left: 389, right: 5736, weight: Weight(721) }
Edge { left: 389, right: 5108, weight: Weight(841) }
Edge { left: 5108, right: 5554, weight: Weight(810) }
Edge { left: 4864, right: 5554, weight: Weight(351) }
Edge { left: 4864, right: 9910, weight: Weight(616) }
Edge { left: 8246, right: 9910, weight: Weight(421) }
Edge { left: 6437, right: 8246, weight: Weight(196) }
Edge { left: 8246, right: 8610, weight: Weight(747) }
Edge { left: 2171, right: 8610, weight: Weight(825) }
Edge { left: 2171, right: 3703, weight: Weight(371) }
Edge { left: 3703, right: 9920, weight: Weight(708) }
Edge { left: 5108, right: 5607, weight: Weight(875) }
Edge { left: 5607, right: 7473, weight: Weight(648) }
Edge { left: 7473, right: 8019, weight: Weight(250) }
Edge { left: 5214, right: 7473, weight: Weight(272) }
Edge { left: 5214, right: 7476, weight: Weight(418) }
Edge { left: 1321, right: 7476, weight: Weight(628) }
Edge { left: 1321, right: 4092, weight: Weight(808) }
Edge { left: 1598, right: 4092, weight: Weight(846) }
Edge { left: 458, right: 1598, weight: Weight(629) }
Edge { left: 458, right: 2483, weight: Weight(642) }
Edge { left: 417, right: 2483, weight: Weight(822) }
Edge { left: 417, right: 2236, weight: Weight(412) }
Edge { left: 3210, right: 9920, weight: Weight(909) }
Edge { left: 3210, right: 6882, weight: Weight(831) }
Edge { left: 6807, right: 6882, weight: Weight(313) }
Edge { left: 3120, right: 6807, weight: Weight(539) }
Edge { left: 1879, right: 5554, weight: Weight(921) }
Edge { left: 542, right: 1507, weight: Weight(1001) }
Edge { left: 542, right: 1030, weight: Weight(452) }
Edge { left: 1030, right: 7182, weight: Weight(138) }
Edge { left: 4538, right: 7182, weight: Weight(503) }
Edge { left: 4538, right: 6855, weight: Weight(480) }
Edge { left: 4471, right: 6855, weight: Weight(668) }
Edge { left: 3757, right: 6855, weight: Weight(976) }
Edge { left: 3757, right: 6686, weight: Weight(536) }
Edge { left: 1255, right: 4092, weight: Weight(1012) }
Edge { left: 1255, right: 4636, weight: Weight(1021) }
Edge { left: 3437, right: 4636, weight: Weight(856) }
Edge { left: 2201, right: 3437, weight: Weight(769) }
Edge { left: 2201, right: 9989, weight: Weight(93) }
Edge { left: 2201, right: 5236, weight: Weight(788) }
Edge { left: 5236, right: 7551, weight: Weight(316) }
Edge { left: 2518, right: 7551, weight: Weight(629) }
Edge { left: 156, right: 4636, weight: Weight(906) }
Edge { left: 156, right: 9834, weight: Weight(875) }
Edge { left: 1513, right: 9834, weight: Weight(914) }
Edge { left: 1513, right: 5727, weight: Weight(264) }
Edge { left: 5727, right: 8590, weight: Weight(515) }
Edge { left: 3490, right: 8590, weight: Weight(365) }
Edge { left: 3490, right: 6190, weight: Weight(441) }
Edge { left: 6190, right: 8731, weight: Weight(192) }
Edge { left: 6208, right: 9920, weight: Weight(1025) }
Edge { left: 2775, right: 6208, weight: Weight(365) }
Edge { left: 2775, right: 3129, weight: Weight(296) }
Edge { left: 3129, right: 4537, weight: Weight(628) }
Edge { left: 1040, right: 4537, weight: Weight(653) }
Edge { left: 1040, right: 7530, weight: Weight(439) }
Edge { left: 2262, right: 2775, weight: Weight(779) }
Edge { left: 579, right: 2262, weight: Weight(990) }
Edge { left: 579, right: 3619, weight: Weight(567) }
Edge { left: 2818, right: 3619, weight: Weight(445) }
Edge { left: 2818, right: 4156, weight: Weight(174) }
Edge { left: 4156, right: 6470, weight: Weight(406) }
Edge { left: 2296, right: 6470, weight: Weight(402) }
Edge { left: 3976, right: 4156, weight: Weight(789) }
Edge { left: 2761, right: 3976, weight: Weight(137) }
Edge { left: 1024, right: 2761, weight: Weight(796) }
Edge { left: 107, right: 1024, weight: Weight(915) }
Edge { left: 107, right: 4583, weight: Weight(532) }
Edge { left: 4583, right: 5425, weight: Weight(629) }
Edge { left: 2052, right: 5425, weight: Weight(716) }
Edge { left: 1279, right: 6470, weight: Weight(982) }
Edge { left: 1786, right: 5236, weight: Weight(1028) }
Edge { left: 777, right: 1786, weight: Weight(633) }
Edge { left: 777, right: 3594, weight: Weight(235) }
Edge { left: 4171, right: 8495, weight: Weight(1064) }
Edge { left: 8495, right: 9864, weight: Weight(672) }
Edge { left: 1653, right: 9864, weight: Weight(532) }
Edge { left: 1653, right: 5797, weight: Weight(839) }
Edge { left: 5797, right: 7588, weight: Weight(567) }
Edge { left: 4735, right: 7588, weight: Weight(1036) }
Edge { left: 4636, right: 5482, weight: Weight(1069) }
Edge { left: 5482, right: 7499, weight: Weight(467) }
Edge { left: 5482, right: 8360, weight: Weight(560) }
Edge { left: 7535, right: 8360, weight: Weight(1050) }
Edge { left: 7489, right: 7535, weight: Weight(730) }
Edge { left: 7489, right: 9408, weight: Weight(280) }
Edge { left: 629, right: 9408, weight: Weight(425) }
Edge { left: 3331, right: 9408, weight: Weight(533) }
Edge { left: 960, right: 3331, weight: Weight(298) }
Edge { left: 3331, right: 6339, weight: Weight(542) }
Edge { left: 2803, right: 6339, weight: Weight(227) }
Edge { left: 3648, right: 7535, weight: Weight(739) }
Edge { left: 1097, right: 2803, weight: Weight(1016) }
Edge { left: 1097, right: 4196, weight: Weight(81) }
Edge { left: 1097, right: 9886, weight: Weight(310) }
Edge { left: 5284, right: 9886, weight: Weight(361) }
Edge { left: 4790, right: 5284, weight: Weight(128) }
Edge { left: 2325, right: 5284, weight: Weight(483) }
Edge { left: 3548, right: 4196, weight: Weight(522) }
Edge { left: 4736, right: 4790, weight: Weight(774) }
Edge { left: 3548, right: 7233, weight: Weight(860) }
Edge { left: 7233, right: 7434, weight: Weight(626) }
Edge { left: 2643, right: 7434, weight: Weight(696) }
Edge { left: 199, right: 7434, weight: Weight(701) }
Edge { left: 1796, right: 7233, weight: Weight(735) }
Edge { left: 2643, right: 7685, weight: Weight(804) }
Edge { left: 1211, right: 7685, weight: Weight(428) }
Edge { left: 1796, right: 6768, weight: Weight(959) }
Edge { left: 2045, right: 6882, weight: Weight(1078) }
Edge { left: 2325, right: 9430, weight: Weight(1088) }
Edge { left: 9430, right: 9891, weight: Weight(961) }
Edge { left: 3120, right: 7211, weight: Weight(1089) }
Edge { left: 3766, right: 7211, weight: Weight(238) }
Edge { left: 6745, right: 7211, weight: Weight(775) }
